id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-889	10.4894	2.74205	3.10837	2.70748	3.86017	4.7058	4.61611	10.1068	1.82607	7.25207	4.8508	3.67335	3.5754	9.35653	3.55001	5.15567	3.36665	3.54192	4.30592	3.67727	4.75172	3.60472	3.84557	2.3699	5.58536	1.4255	8.7894	3.80946	2.8826	9.1088	7.23827	4.88	3.46603	3.4913	6.90093	7.55142	6.27621	5.2808	4.39598	4.45078	3.27331	11.3211	3.34564	4.15539	3.47799	4.50277	5.09192	9.07247	4.2956	4.6284
hsa-mir-337	9.72062	2.3404	4.07607	4.38643	4.38665	5.00503	4.91689	10.5476	1.24535	4.92442	5.50891	3.717	3.47696	8.70079	3.29131	5.49548	4.37486	4.65526	4.60958	4.23158	5.06976	2.90365	4.3713	1.4385	4.78667	1.35932	8.76416	2.85139	3.42244	7.96802	5.18945	4.74883	4.18819	3.88488	6.06501	7.39339	5.63643	3.57125	4.25157	4.31866	3.97164	10.5465	4.6359	4.41491	4.33919	4.7074	6.38083	8.53918	5.4952	4.308
hsa-mir-339	6.35985	5.17892	5.20374	6.10552	4.50747	4.2034	6.65787	5.75311	5.02359	4.1724	4.85937	5.72072	4.29344	4.90984	4.50464	4.22697	5.40456	4.56964	5.70643	5.04841	5.93248	4.32188	5.2716	3.39424	5.52681	5.49438	3.65882	4.21686	5.76524	5.58141	3.8556	4.72755	5.24489	4.0694	3.704	3.64983	5.73591	4.46549	5.25708	5.31545	5.60519	6.10112	3.91309	4.47609	5.24754	4.44846	5.19684	4.55213	4.34883	4.00013
hsa-mir-33a	5.22231	6.15339	6.13834	4.66334	4.99464	3.70375	4.61611	5.19114	4.04177	4.41583	5.50891	6.73378	4.78903	4.19772	6.18102	4.16351	6.1355	3.86306	4.13622	4.61975	4.58666	5.00699	6.87184	3.43759	3.17522	3.32662	5.36929	3.99071	2.94364	6.98489	4.29423	4.63913	2.95767	4.83521	4.74238	5.30095	6.39718	3.7762	5.70817	5.22343	7.29052	5.99786	4.07741	4.68747	4.60097	5.55011	6.33559	4.07083	4.87867	4.93334
hsa-mir-181c	4.79547	3.46279	4.70812	4.2251	4.4362	5.82502	5.85422	2.48001	3.71601	4.72292	5.53054	5.74903	4.70454	3.76329	5.44092	5.52734	5.33967	3.76375	4.58047	5.12234	6.5196	4.86264	4.72404	3.89694	5.79493	6.62809	3.81916	2.38484	4.26064	2.73148	5.92035	5.8405	6.6799	3.59521	4.49615	3.85153	5.19016	5.41723	4.69618	8.06219	3.41032	9.3554	6.31648	4.14035	3.87991	6.26688	5.56416	4.77304	4.86959	3.73494
hsa-mir-222	5.62499	4.10917	4.75291	4.62072	2.88666	4.68849	4.72705	3.84506	4.9973	6.01785	4.40042	4.91333	3.91322	4.73289	4.51334	4.06278	4.97969	4.88529	7.11428	5.2742	4.97273	4.28903	4.35066	3.49343	6.63477	6.5579	5.52471	4.05321	5.36321	5.94705	5.39388	4.66175	5.5529	3.71076	5.34395	6.44729	6.40819	4.74714	3.46292	5.13266	4.68941	5.21086	3.64802	3.80097	5.31396	5.54041	3.54037	7.04306	4.47391	4.22406
hsa-mir-331	4.95644	5.27291	5.18752	3.75902	5.4635	4.84244	5.7841	3.71024	4.88705	4.95899	4.35265	5.33359	3.34673	4.82408	5.50341	3.75368	5.10992	3.41675	5.91906	4.74983	5.48774	3.84062	4.9739	2.3699	5.40879	5.15237	4.83124	2.94227	4.57227	5.71564	5.18538	3.81671	4.5956	4.68316	5.21762	4.55311	5.78741	5.44754	4.20751	4.64194	5.76704	6.59192	5.54932	4.43969	4.51888	5.98631	4.28726	4.77304	4.72608	5.98798
hsa-mir-2355	6.62635	3.39008	4.8281	5.48818	3.466	4.83198	6.05897	2.38203	4.09234	4.66651	5.49797	5.76645	3.54333	2.52889	4.33829	4.80693	5.07845	5.3635	4.67991	4.05826	5.93248	3.92856	5.10292	4.47027	5.22544	6.30233	4.96298	3.00685	3.31102	6.78817	5.36176	3.49014	4.98944	3.96465	4.13525	2.95985	6.28221	4.77131	5.40097	7.51987	4.03659	5.56887	6.06219	4.29777	5.57996	6.23916	6.21084	4.31145	4.32246	4.6284
hsa-mir-483	6.86141	1.78185	1.6138	6.44784	1.58978	8.90694	1.24624	7.40052	10.5778	9.5185	3.77867	0	1.03449	10.7236	1.40497	2.20969	0.803381	2.28444	12.8601	1.45414	2.00133	1.43874	2.31286	1.4385	6.52971	9.93328	8.65504	0.434993	0.563753	1.11582	2.06661	9.49604	5.65626	8.1668	10.3936	11.3815	11.0153	1.37162	1.443	2.24375	0.973195	11.5527	0.706745	4.8349	0.922135	5.16016	5.84381	12.2322	4.79483	2.77008
hsa-mir-18a	6.46619	4.94513	3.64837	3.45381	4.07874	2.60444	6.35341	3.84506	6.19493	6.50687	2.77533	6.0768	3.3713	6.35188	4.33829	3.27225	6.32845	4.12556	5.9592	4.45148	4.06579	2.46001	4.24279	1.4943	3.79075	4.13913	7.09647	4.03267	5.28281	8.422	5.30282	7.43754	5.12281	4.34452	4.43689	5.4284	9.79923	3.4266	2.7505	4.52117	6.59029	8.14126	2.02913	2.39262	4.29602	2.77877	5.6256	7.51926	2.89895	4.89042
hsa-mir-502	6.48831	4.89346	4.61414	4.13712	4.8283	4.50958	4.75874	5.78221	4.69318	5.78719	4.18548	4.96252	4.61479	4.9908	5.59644	4.3883	4.12053	4.12556	6.31345	4.7184	4.29044	3.97886	4.46069	3.82258	4.99166	4.82469	4.15598	4.7508	4.46184	5.4334	3.42932	4.27845	3.61837	5.64031	4.73625	4.98357	5.66425	3.7762	4.68015	4.09074	4.86657	4.1755	3.53456	4.12515	4.48084	2.84333	4.53152	4.7133	4.21188	6.33866
hsa-mir-328	4.49698	4.19705	6.10418	5.186	4.33533	4.58632	5.13379	3.9168	5.19534	3.87034	4.84218	5.83739	5.31752	3.51224	5.78073	4.71033	5.81105	4.73608	5.76583	5.37845	3.46104	3.57233	5.45682	4.26099	3.01993	4.9759	4.78018	3.29243	4.60098	4.39483	4.03832	4.01419	3.8819	3.65414	4.35123	6.4862	3.95663	3.72763	4.8184	4.82469	4.71609	4.60833	5.01654	4.96866	4.1702	4.97567	4.86447	3.78189	5.02485	5.84357
hsa-mir-382	8.72093	2.55516	3.07348	3.90822	3.76643	4.74538	4.67264	10.2082	2.11403	5.79199	4.85937	3.51749	2.93354	8.15097	3.51577	5.15567	3.36665	4.04325	4.17569	3.49137	4.50226	3.4822	3.55214	2.03565	5.78635	1.5494	7.98951	3.35992	2.97322	8.04655	6.50309	4.83593	4.39923	2.88413	5.74907	6.45969	5.07053	4.25883	3.49993	4.1659	2.86011	10.2235	3.2167	3.72234	3.10548	4.46223	4.70284	7.16793	3.94429	4.70471
hsa-mir-410	9.57114	2.3404	3.30165	1.50789	4.18402	4.21955	4.95386	8.84377	1.12098	6.5988	4.27789	3.53386	3.04463	8.33276	3.00081	4.97343	2.45183	3.12821	3.36004	3.09418	4.85969	3.26967	3.11159	2.1443	5.2531	0.567288	9.32566	4.55593	2.8826	8.74864	7.28375	4.56308	3.23413	3.03956	6.5919	7.16884	6.0905	4.30922	3.82557	3.84758	3.37727	11.4544	2.7418	3.40752	3.05459	4.60561	4.05391	7.41764	4.46188	4.41786
hsa-mir-196b	6.29608	7.43965	9.93932	2.93322	1.67481	7.92572	6.69382	9.1984	7.27353	6.18963	1.97202	2.72635	2.24997	1.20242	6.31398	3.85757	3.07927	3.12821	3.87358	8.83683	1.93419	9.05282	1.86622	2.03565	8.08476	7.5098	2.79471	1.1197	4.74512	5.3044	3.05378	4.66175	7.86661	5.33882	1.94027	4.46563	6.86098	2.34552	1.58752	9.07566	8.12349	1.8192	0.635154	2.66905	3.05459	2.56571	3.31027	4.7876	3.40544	4.40267
hsa-mir-195	2.34979	4.60305	4.39145	5.70767	5.7644	5.46067	5.41138	4.03435	2.69667	4.80122	5.45903	4.57671	4.69484	3.39816	4.35775	4.86791	4.94521	4.04325	4.56569	4.56188	4.50804	4.03541	5.72483	4.82065	3.32492	5.12773	2.68795	3.3096	4.14843	2.5517	5.56352	5.88443	5.07093	4.01048	5.3318	2.59037	5.13821	4.81845	4.91746	5.44785	7.96846	3.89808	4.41324	5.18933	4.60981	3.17969	6.61091	3.38234	5.00011	3.78267
hsa-mir-3065	5.27415	3.56542	5.20374	6.2383	3.72715	5.12992	4.81005	5.38698	4.48186	4.03332	3.77867	3.22672	2.13989	9.34887	6.26071	6.2196	3.20117	4.53993	7.10153	2.49565	6.29218	3.052	3.13592	2.03565	3.24702	5.11275	3.30864	3.00685	4.26064	4.19481	2.99914	3.77583	1.87438	4.84367	5.98194	6.45763	5.08432	5.23809	1.83927	3.87472	8.55243	3.15423	3.64802	4.8899	6.13354	4.05301	5.14183	4.37066	4.60002	6.08634
hsa-mir-362	5.56798	4.46826	4.92913	5.90703	3.74692	4.2034	5.30093	6.05286	3.85916	4.44661	3.99636	4.17909	3.25729	5.20951	5.0141	3.79614	4.73925	5.95373	6.70945	3.91769	4.06579	3.60472	4.84702	3.61169	3.66159	5.0976	4.67231	4.48213	3.81438	5.44633	3.01759	3.92351	4.34202	5.08409	3.62657	5.39004	5.71832	2.27966	4.94455	3.81992	3.47423	3.77022	2.88756	3.10065	5.19564	2.12105	5.00981	5.61383	5.02485	4.96472
hsa-mir-758	9.64339	1.53443	3.00106	3.40442	3.23352	4.31284	4.68369	9.88558	1.24535	4.68211	4.99779	3.717	2.13989	7.99537	2.72924	4.96415	3.73287	3.41675	3.94386	2.72387	4.74684	2.05365	2.8128	1.64983	5.12829	1.05929	8.40629	2.70336	2.97322	7.66755	6.11706	3.93284	2.70885	3.15287	6.06989	6.60261	4.92482	3.67736	3.82557	3.95321	3.1996	11.4324	3.2167	3.40752	3.00184	4.68408	5.23019	6.57824	3.85512	4.38732
hsa-mir-1180	5.78364	5.34201	4.1109	2.70748	3.58061	3.59652	4.84982	4.35156	6.3588	6.03618	2.946	3.92984	1.58948	4.38906	3.22927	4.21136	5.33967	3.04606	6.1546	2.92088	2.42465	2.85061	4.80971	2.84802	3.87733	4.01567	6.55903	4.19854	3.23979	7.52703	3.17376	3.94211	4.18819	4.13982	4.7052	5.87982	7.16346	5.77484	3.34586	4.4204	5.2327	5.30615	3.96511	3.61761	4.08401	4.42052	4.20914	4.53498	4.98337	4.20667
hsa-mir-652	5.89379	4.57052	3.98514	2.78672	3.9482	4.62927	5.37095	3.37033	4.67118	4.98439	3.88324	4.94427	4.39877	3.80865	5.28195	3.59439	5.37895	2.76715	4.39223	4.15537	3.34952	4.13489	4.3713	3.40883	4.4854	4.69654	6.29376	3.25746	4.4302	6.21225	3.80341	4.02295	2.91907	4.43692	3.23263	5.58756	6.0905	4.37377	3.12678	3.67306	4.30612	4.99902	4.61279	4.38969	3.6929	4.1066	4.38525	3.4202	3.72022	4.91204
hsa-mir-1287	5.37256	4.79833	4.94851	4.10656	4.32221	5.27994	4.44489	4.57864	3.73735	4.7429	4.76216	4.49548	3.05983	5.38449	3.11956	3.59439	5.09427	3.12821	4.58047	3.21924	4.14957	3.06758	3.43938	3.08456	5.09533	5.04067	6.15035	1.1197	3.3789	4.40811	3.8556	3.65703	4.20433	3.20636	4.78458	3.2726	5.44659	3.65156	4.56265	5.42048	2.12801	5.6346	4.50647	5.44943	4.88207	4.27208	4.12654	4.74348	4.26823	4.94388
hsa-mir-590	5.60083	4.41428	3.80545	3.50157	3.91363	3.38366	4.23564	5.14707	3.73735	3.85206	3.77867	4.84938	4.02583	3.56607	4.83825	3.2108	3.88615	4.2773	3.98887	4.17094	4.25649	4.38542	4.42164	4.063	3.46914	4.98141	4.57081	4.1033	4.16134	5.23903	4.14283	3.94211	4.18819	4.02544	3.41257	3.60587	5.69154	4.07691	4.75859	4.05163	5.46279	4.97022	3.89021	3.7424	3.85037	4.39203	5.02509	4.31145	3.3801	4.49151
hsa-mir-769	5.13528	3.77981	4.50054	3.45381	3.60248	4.04927	4.89804	4.33856	4.61464	4.28569	3.68533	4.74782	3.49942	4.44759	3.79808	3.66482	4.73925	3.65709	5.34019	3.3064	3.96007	3.96229	3.97258	4.02561	3.56054	4.00488	3.89311	4.25281	3.65924	5.47816	4.4381	4.58099	3.03191	4.48099	4.59432	4.60614	5.36983	3.45671	3.70399	5.05964	4.13873	5.66188	4.22491	3.99741	3.60721	4.30302	4.0085	4.14053	4.33571	3.71047
hsa-mir-493	9.19371	1.05925	3.07348	3.12838	3.87821	4.2115	3.97291	9.08522	1.12098	5.66425	4.72513	2.57642	2.58011	9.22989	2.0562	4.46925	3.51508	3.81426	3.58194	3.09418	4.07361	2.38739	3.76987	0.805946	5.23808	0.567288	8.85409	1.52448	2.91344	8.05185	5.04858	4.63913	3.71167	2.17862	6.02029	6.81218	5.45723	2.63609	2.24007	3.20188	3.12192	10.003	2.77549	3.50469	3.20217	3.73914	4.1957	7.8247	4.54406	2.62053
hsa-mir-874	5.75474	3.0081	3.88809	5.99308	2.95625	4.2115	4.67264	1.50162	5.8576	5.41936	4.78933	4.11527	4.81613	5.35422	3.11956	5.72708	5.90375	3.20593	5.69289	4.20158	3.24259	2.93796	4.26502	1.91815	2.28832	5.14256	4.41219	6.25818	3.26393	3.74953	3.14049	3.62286	3.41146	2.91658	2.78713	4.11464	3.69418	3.48621	4.25157	7.03186	2.65478	4.49154	6.4012	3.50469	2.67118	3.22885	4.34928	5.33536	3.69988	4.02018
hsa-mir-106a	5.46468	3.56542	3.55027	4.10656	3.17634	3.31015	5.06786	4.06625	4.44343	3.54582	3.03948	5.28123	3.14778	5.08599	3.58345	3.009	4.7984	4.47862	5.97607	2.28289	3.92592	3.77571	3.29561	1.54803	4.00114	5.09252	5.11494	2.67714	4.56258	4.24007	3.10643	5.39724	5.19729	4.32047	4.03892	5.89512	4.56049	3.33229	2.86838	3.84758	5.60519	5.66188	3.76164	2.11335	5.67568	3.09385	5.13481	4.09444	3.8734	4.77718
hsa-mir-330	4.72271	4.666	4.128	4.04343	3.89603	4.64131	5.1891	1.8336	3.935	4.81072	3.60606	4.80287	3.47696	2.63344	4.02193	3.91649	4.52249	3.65709	3.36004	4.43868	3.91726	4.28903	3.88916	2.10898	3.38071	5.0194	4.54045	3.20337	2.97322	4.90617	4.12593	2.76709	3.23413	2.97938	3.82449	3.41527	4.6743	5.71381	2.55338	5.52125	5.03497	8.49224	4.98449	3.27606	3.67616	4.91689	3.72012	3.52817	5.0084	3.78267
hsa-mir-3613	4.44365	4.72631	4.128	2.78672	3.05471	2.69964	4.00849	5.0387	3.50826	3.56839	3.99636	4.49548	3.01376	3.76329	4.85203	3.52035	3.92206	3.71141	4.21411	4.87867	3.64023	3.97886	4.54486	4.83152	2.16665	3.55073	4.27139	3.23966	3.21525	4.88733	4.45173	3.9965	4.20433	3.53377	3.93568	4.07219	4.99951	3.95562	5.34105	3.03547	7.80255	5.04118	2.50128	3.7424	3.33604	3.33743	4.76786	5.701	3.65831	3.91704
hsa-mir-369	8.22148	2.08799	2.62092	4.16705	2.81355	3.36926	3.53427	9.26991	0.984857	4.79166	3.72339	2.57642	2.05143	9.04679	2.19249	3.77507	2.54688	3.41675	2.72452	2.44532	4.01796	2.28449	3.58785	1.4385	5.16318	0.973407	7.34727	2.62323	2.64598	7.45528	6.67851	4.16429	3.41146	2.88413	5.21321	6.09386	4.95516	3.36441	3.99066	3.45062	2.59853	9.17702	2.41841	3.45692	3.02845	3.41027	4.40874	8.01456	3.74028	3.5265
hsa-mir-92b	3.57612	3.27364	3.60015	3.63603	3.58061	5.05539	5.24982	2.33043	1.65721	3.12647	4.99779	4.29884	2.99806	3.33754	3.67937	4.78602	4.1511	3.27968	3.32536	3.63299	4.14215	6.8284	4.7079	2.71342	3.36235	4.85503	4.57081	2.31853	3.42244	3.92607	4.87737	4.42447	5.02623	3.40243	3.41257	3.02806	4.92482	5.35463	2.7505	6.88164	3.16129	7.38332	4.46061	3.10065	2.73721	3.79461	4.14064	2.58282	5.02485	2.98932
hsa-mir-431	9.58301	1.99298	2.80232	2.62363	1.97221	3.62104	3.97291	8.32964	1.12098	5.56113	3.8319	2.60768	1.67091	7.97064	2.00775	3.95448	2.54688	3.91026	4.53566	2.09981	3.09672	2.08461	2.22487	1.25682	4.46404	1.21709	8.82052	3.3096	1.54223	8.422	4.20852	2.30368	2.61536	1.81535	5.62846	6.3079	5.21545	2.4085	3.21844	3.6418	3.23693	11.4029	2.28443	2.49077	3.31458	3.8269	3.25949	8.14606	3.76007	3.37905
hsa-mir-345	5.46468	5.00723	4.34832	3.50157	4.67163	2.42106	5.0594	3.0577	4.64883	3.7862	3.36252	4.32728	4.46875	2.98915	5.02022	3.24186	4.32209	2.95894	6.47643	3.06115	3.1715	3.1865	3.33817	2.33975	4.12063	3.77036	3.60115	4.07345	4.24859	5.06551	3.91584	2.90618	2.70885	3.67326	4.56695	4.4738	5.20286	2.7377	2.325	3.35106	5.22343	4.34216	2.84059	3.06923	5.01445	3.73914	4.70284	2.88314	3.67925	4.94388
hsa-mir-766	6.35022	5.22145	3.60015	3.59259	4.09426	3.96555	4.02595	4.32544	5.29944	4.73793	3.81437	5.50525	3.18983	4.55797	5.00178	3.57013	4.73925	0.976683	5.93065	3.54014	4.10448	4.42224	4.78684	4.04442	2.87206	3.39428	4.9857	3.74781	3.56525	2.81362	3.07154	3.34397	2.95767	2.55359	3.95693	2.36278	5.02834	3.48621	2.40521	4.14376	4.90186	2.59877	4.82472	2.90093	2.91891	2.53997	4.27453	3.8666	3.8366	4.6284
hsa-mir-598	4.80959	2.55516	3.55027	4.07534	2.32771	4.53562	4.07712	2.27691	2.17786	3.65529	4.38862	4.2302	3.25729	3.89531	3.55001	3.83738	4.34872	2.42108	2.9688	3.63299	6.27702	3.47053	4.26502	3.23955	5.36336	4.05801	3.68681	3.23966	3.71283	3.39671	3.58583	4.31458	4.4407	4.62543	3.41257	2.70593	5.43587	3.7762	3.07867	6.45689	4.27056	3.20457	5.91505	3.78171	3.37804	6.5827	4.26169	2.64809	4.77552	3.43985
hsa-mir-497	2.4251	4.39583	3.82656	5.32522	4.61896	5.1803	5.26461	3.80781	1.56474	4.17975	4.59773	4.60796	3.71632	2.52889	4.02193	4.5334	4.92765	3.27968	4.30592	3.72022	3.98517	3.4469	4.83964	3.87608	2.87206	4.48782	1.79682	2.77928	3.23979	3.16603	4.36796	4.56908	3.51862	3.12537	3.63976	2.17498	3.95663	2.52678	4.93107	5.52411	6.46612	3.70177	3.78664	4.18502	4.1821	2.77877	5.48349	2.93637	3.06721	3.43985
hsa-mir-429	0.863542	1.23561	1.6138	5.7965	4.46035	4.43546	2.17905	1.97474	2.46046	7.37797	3.03948	4.26002	0.905858	5.66907	0.497771	4.25767	4.5457	4.78755	5.63742	1.111	6.47895	1.57578	2.8128	0.805946	8.31308	6.43476	3.37896	2.35207	1.18584	5.94249	6.76292	4.72218	2.91907	3.78295	7.15301	0	6.13093	2.06185	2.55338	7.16516	3.67796	4.9259	6.64051	3.0371	2.70457	8.31052	2.97474	7.72044	2.04863	1.22861
hsa-mir-204	3.79065	3.96643	5.14614	5.88018	3.23352	4.09376	3.91784	4.95598	4.59139	3.85206	4.30324	3.53386	3.30908	4.12785	3.29131	4.08006	4.90988	3.71141	3.36004	4.21666	3.06569	1.88804	3.81577	4.62828	1.1706	2.20571	3.34423	2.17602	6.76466	7.37809	2.29546	4.65049	4.03416	4.44807	3.14278	6.59701	3.12884	2.92167	8.25784	1.79097	5.00282	2.80859	1.61088	3.33009	3.5161	1.23938	4.92274	3.17652	3.74028	3.28277
hsa-mir-4677	5.14645	3.6918	3.57543	3.59259	3.02263	3.36926	2.97473	4.91277	3.83956	4.79645	3.56473	4.66851	3.80916	4.29656	3.48071	3.59439	3.01422	4.08499	5.36602	3.6553	2.93442	5.8078	3.15984	4.27699	2.85903	3.99402	3.60115	3.92538	3.11266	4.40811	2.71261	3.32991	3.7993	4.68316	3.92494	2.55998	4.41526	3.54346	4.75859	2.93591	4.81813	3.77022	3.96511	3.481	5.04736	4.09781	2.84299	4.27058	3.12938	3.24919
hsa-mir-576	4.66174	5.18967	3.17571	5.04808	3.89603	3.26417	3.84098	3.9168	3.35102	2.5097	3.47834	3.30509	4.57833	3.33754	4.29856	3.11343	2.87462	4.38147	3.94386	4.94355	3.33658	5.40055	4.114	3.58623	2.55398	4.02637	3.37896	2.44823	3.71283	3.66355	3.15722	2.925	4.18819	3.63476	1.8523	3.19561	4.8133	4.55172	4.49094	3.01935	4.64844	2.52145	3.62048	3.38217	6.27918	3.3523	4.64467	3.56243	3.3801	4.13494
hsa-mir-218-1	2.69228	2.08799	3.55027	4.98227	2.47723	5.15533	5.35721	1.50162	1.12098	3.46394	5.32311	4.41825	3.11906	3.2081	3.9209	4.94541	4.18104	2.66076	4.09563	3.3886	5.50519	3.97886	4.80212	1.83413	4.85719	5.13764	2.15845	1.79216	2.91344	1.55842	4.97026	4.45068	3.51862	2.37825	2.94432	1.5278	3.86372	2.96422	3.26217	5.25131	2.95276	10.2473	5.102	2.23162	3.20217	4.6118	4.39704	4.8444	3.77959	2.19612
hsa-mir-7-1	4.95644	3.53201	3.17571	4.50833	3.36727	3.26417	4.72705	4.03435	3.07746	2.25532	3.81437	3.92984	3.34673	2.9081	3.33123	3.07945	3.31357	3.20593	3.05599	3.24889	3.96849	3.58321	3.11159	4.10841	2.64791	4.87293	3.71427	2.82775	4.30784	3.98042	3.8556	2.68114	4.37091	3.06873	3.74122	3.48164	4.39327	4.8753	3.70399	3.2161	4.28845	5.32902	3.91309	3.81997	4.50946	2.88481	4.27453	3.92043	2.66712	3.73494
hsa-mir-432	9.0487	2.55516	1.6138	2.86183	3.02263	3.53331	3.40674	8.29976	0.834544	5.57513	3.38644	1.56545	2.27623	8.23021	1.06953	4.11403	2.63606	3.41675	3.84938	2.39318	2.58644	2.11491	1.92325	1.54803	4.44236	0.882086	8.63632	2.75441	1.76152	7.7546	3.97366	2.86779	3.439	1.42203	5.46011	6.23282	5.02834	1.60465	2.97736	2.84734	2.34867	10.0364	1.27636	2.75056	2.19524	2.73407	3.40676	7.82822	3.47892	2.77008
hsa-mir-218-2	2.27033	1.89127	3.60015	4.72499	2.56894	5.13418	5.3223	1.8336	0.476793	3.33826	5.10979	4.4871	3.05983	3.27427	3.82629	4.86791	4.0247	2.54589	3.63954	3.6553	5.51958	3.84966	5.00065	1.64983	4.66088	4.95364	2.38037	1.74245	2.75217	1.73741	4.79423	4.41784	3.29569	2.63386	3.23263	1.64827	3.12884	3.26581	3.46292	5.24092	2.90718	10.2916	5.00947	2.58266	2.86085	4.64236	4.34928	4.74348	4.18285	1.22861
hsa-mir-370	8.50903	1.39274	2.96345	3.12838	2.61269	3.23268	3.3524	8.82641	1.24535	4.57474	4.32816	2.88785	1.70996	7.26786	1.6136	3.87748	2.63606	2.76715	3.17764	3.06115	3.14205	2.17368	2.54858	0.972391	3.74188	0.680027	7.3862	2.67714	2.22203	6.84298	3.80341	3.27229	2.91907	2.12408	4.25158	6.04257	3.50204	2.21065	3.21844	3.2161	2.86011	9.35818	2.11057	2.86478	2.56609	3.57141	3.99304	5.95425	3.24622	2.56702
hsa-mir-495	7.5763	1.53443	1.79605	3.97741	2.73653	3.71518	3.29593	6.99093	0.834544	3.79579	3.4559	2.66823	1.89078	6.9714	2.81621	3.81691	2.54688	3.27968	2.92314	2.16345	3.86414	2.11491	2.7193	0.972391	4.93378	0.567288	6.31185	2.72911	2.22203	6.14245	6.49817	3.49014	2.99526	2.33088	3.96744	5.40722	3.76441	3.04573	2.24007	3.12861	2.12801	8.66846	2.57965	2.66905	2.80035	2.92514	4.26169	6.73667	3.61551	3.87362
hsa-mir-500b	5.66438	3.46279	3.55027	4.16705	2.32771	2.89331	3.75979	4.94744	3.55708	4.31267	2.97783	3.68805	2.99806	3.13874	3.6481	2.97245	3.99129	3.76375	5.1551	3.27793	3.04992	3.14304	4.22021	2.33975	4.02468	4.43257	4.62968	3.50112	3.21525	4.26947	2.6666	3.77583	3.23413	4.08376	3.2151	4.62828	5.20286	2.92167	2.40521	2.84734	2.70892	3.51494	2.85642	2.58266	3.80491	2.01293	3.2851	4.07083	3.09863	3.9798
hsa-mir-450b	4.79547	3.46279	3.20824	3.45381	3.80466	4.44235	3.50965	3.11981	2.04725	3.57954	4.74376	3.56604	2.96616	4.19772	2.50327	4.46925	3.60618	3.41675	3.77422	4.30397	3.49638	2.67867	4.06416	2.73674	2.67791	2.08805	3.65882	2.2842	3.26393	3.13442	3.45661	4.95517	4.98944	4.09798	2.78713	2.29056	3.4174	3.19611	4.35617	3.72369	3.16129	5.23528	3.62972	3.85725	3.82022	3.54577	4.55276	2.28746	3.40544	2.51146
hsa-mir-214	2.00174	1.66344	3.71779	6.42325	3.44194	5.14691	4.70553	1.30176	0.984857	2.98266	5.43055	4.46166	2.94994	3.51224	4.26803	5.49548	3.92206	3.20593	4.01087	3.51596	5.29383	2.92091	5.15145	1.25682	5.21012	3.99402	1.79682	0.665854	2.57057	0.830354	5.12712	5.43054	4.38514	2.55359	3.74122	1.5278	3.98632	2.7377	2.86838	4.37677	2.54001	5.06862	4.57024	2.8277	3.58944	4.08896	5.83949	2.82787	4.01186	0.922662
hsa-mir-378c	3.20085	4.15378	3.78403	3.94323	5.53347	3.20049	3.84098	3.29156	1.97722	2.98266	4.04226	3.48419	7.37988	3.39816	3.49835	3.73197	2.87462	3.12821	1.78193	4.93446	2.15665	3.84062	4.22021	3.84422	2.55398	2.95314	2.74232	3.67018	5.91374	3.57213	2.75719	2.84821	2.91907	5.35075	1.60559	3.48164	3.95663	2.63609	3.88273	2.37626	4.15831	3.30026	1.36754	4.63478	4.31777	2.25364	4.79486	0.636513	4.09211	4.25823
