id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-1284	2.56487	0.345922	0.270297	0	0.242121	0.271917	0.258255	0.631786	0.258004	1.07362	0.600129	0.177147	0.432386	0.519798	0.185667	0	0	0.56946	0.573154	0	0.44793	0.705146	0.527032	0	0.178479	0.31135	0	0.304047	0.213341	0.663201	0.269921	0.577389	1.01832	0.223995	1.24009	0.461205	1.38627	0	0	0.241544	0.311266	1.36767	0	0.45382	0.200571	0.394043	0	0	0.244324	0.741323
hsa-mir-373	2.49668	1.53443	0	0	0.242121	0	0.835216	1.59205	2.5109	0	0	0	0	0	0	0	0.456904	0	0	0	0	0	0	0	0	0	0	0.160018	0.399159	8.61545	0.141264	0.135442	0	0	0	0	0	0.539634	0.363425	0	0	0	0	0	0	0	0.893475	0	0	0.533867
hsa-mir-4444-1	0.348422	0.624733	0	1.07475	0.630583	0.390796	0.667295	0.242646	0.476793	0.351828	0.600129	0.477096	0	0.519798	0.350143	0	0	0	0.792156	0	0.44793	0.124386	0.197849	0	0.178479	1.05929	0.318987	0.304047	0.563753	0.256444	0.141264	0.478938	0.495922	0.417839	0	0.702939	0.977032	0.294902	0.363425	0.541656	0	0.396276	0.635154	0.244681	0.533521	0.394043	1.02089	1.41343	0.635627	0.741323
hsa-mir-6733	0.863542	1.23561	0.270297	0.452897	0.630583	0.271917	0.835216	0.450298	0.258004	0.243813	0.228912	0.477096	0.608048	0.519798	1.06953	0.264754	0.803381	0	0.573154	0.254987	0.44793	0.124386	0.197849	0	0.178479	0.164058	0	0.304047	0.399159	0.663201	0.269921	0	0	0.223995	0.422807	0.170648	0	0.748809	0.653475	0.62926	0.567148	0.706828	0.211673	0.244681	0.37663	0.504632	0.753704	0.353079	0.797553	0.922662
hsa-mir-4777	1.24235	0.85829	0.867283	0.452897	0.242121	0.390796	0	0	0	0.127051	0.228912	0.334903	0.522889	0	0.185667	0.488373	0.456904	0.56946	0.314855	0.659903	0.78924	0.705146	0.794883	0.617763	0.410585	0.784591	0	0.160018	0.845468	0.256444	0.86629	0.259253	0.495922	0	0.155116	0.170648	0.718621	0.539634	0.363425	0.12582	0	0.706828	0.211673	0.244681	0.533521	0.504632	0.753704	0	0.453203	0.922662
hsa-mir-5696	0	0	0.497855	0.797073	0.630583	0.271917	0.258255	1.19038	0.476793	0.634458	0.426427	0.725289	0.522889	1.20242	0.867153	0	0	0	0.314855	0.254987	0.24128	0.536274	0	0.146524	0.337289	0.31135	0.801044	0.434993	0.399159	0.663201	0.269921	0.478938	1.15748	1.0056	1.16904	0.323228	0.403599	0.294902	0	0.241544	0	0	0.306897	0.636444	0.200571	0.703227	0.228393	0.353079	0.244324	0.291489
hsa-mir-1262	1.06534	0.345922	0.270297	0.797073	0.242121	0.500621	0	0.450298	0.258004	0.127051	0.600129	0.334903	0.120838	0	0	0.264754	0	0.56946	0	0.826437	0.24128	1.70093	0.197849	1.1216	0.178479	0.164058	1.16174	0	0	0.256444	0.782491	0.756174	1.01832	0	0	0.323228	0.403599	0.539634	0	0.448387	0.784409	0	0.962125	0.45382	0.922135	0.703227	0.228393	0	0.797553	0.291489
hsa-mir-206	0.348422	0.345922	0	0	0.242121	0	0	0	0.258004	0.351828	0.228912	0.334903	0.335824	0.519798	0.497771	0	0	0	0.573154	0	0.863292	0.124386	0.197849	1.04893	0.942481	0.31135	0	0	2.11994	0	0.388039	0.135442	1.40102	0.879559	0.422807	0.702939	1.38627	0	1.71888	0.241544	0.567148	0.396276	0.635154	0.798527	0	0	0.425522	0.636513	0.635627	0
hsa-mir-6802	0	0.624733	0.497855	0	0.449388	0	0.258255	0.242646	0.666729	0.634458	0.426427	0.334903	0.232332	0	0.497771	0.488373	1.69401	0	1.78193	0.659903	0.933727	0.238896	0.197849	0.146524	0.337289	0.31135	0.318987	0.555037	0.563753	0.47411	0.269921	0.135442	0	0.223995	0.295161	1.00325	0	0	0	0.241544	0.311266	0.962228	0.480342	0.45382	0.200571	0.274269	1.13796	0.353079	0	1.08373
hsa-mir-3150b	0.863542	0	0.270297	0.452897	0.242121	0.602674	1.24624	0	0	0.243813	0.600129	0.477096	0	1.66392	0.350143	0.681938	0.456904	0	0.314855	0	0	0	0.527032	0	0.546872	1.05929	0.580057	0	0	0.256444	0.269921	0	1.15748	0.223995	0.648515	0	0	2.13817	0.363425	0.12582	0.311266	0.706828	0	0	0.37663	0.394043	0.893475	0.353079	0.453203	0.922662
