id	TCGA-UB-A7ME_Alive	TCGA-DD-A4NL_Alive	TCGA-DD-A11C_Alive	TCGA-2Y-A9H7_Alive	TCGA-RC-A7S9_Alive	TCGA-G3-AAV2_Alive	TCGA-DD-A1EI_Alive	TCGA-FV-A496_Alive	TCGA-DD-AADL_Alive	TCGA-ZS-A9CF_Alive	TCGA-ZS-A9CFa_Alive	TCGA-RC-A6M3_Alive	TCGA-DD-AACJ_Alive	TCGA-DD-AACG_Dead	TCGA-UB-A7MF_Dead	TCGA-CC-A9FU_Alive	TCGA-DD-A3A4_Dead	TCGA-DD-AAD6_Alive	TCGA-DD-A115_Dead	TCGA-DD-A3A9_Dead	TCGA-DD-A119_Dead
ENSG00000104870.11	6.58215	5.56837	6.19717	6.26654	5.22133	6.16137	5.72366	5.62473	5.95443	5.03494	5.03494	1.01081	5.40682	7.30309	5.76028	7.34417	5.42337	5.15893	5.75423	6.39833	6.20403
ENSG00000118579.10	0.223321	0.175109	0.637079	0.83542	0.431264	0.505077	0.532361	0.25821	0.683862	0.361877	0.361877	0.286957	0.597684	0.455639	0.313772	1.01081	0.480066	0.74474	0.337687	0.408318	0.563175
ENSG00000235268.2	0.83542	0.683862	0.74474	0.175109	0.223321	0.637079	0.25821	0.286957	0.313772	0.337687	0.337687	0.385399	0.563175	1.01081	0.408318	0.597684	0.431264	0.455639	0.480066	0.505077	0.532361
ENSG00000136367.13	1.01081	0.385399	0.480066	0.83542	0.74474	0.175109	0.597684	0.532361	0.563175	0.313772	0.313772	0.505077	0.431264	0.337687	0.637079	0.683862	0.286957	0.223321	0.455639	0.408318	0.361877
ENSG00000256037.1	0.408318	0.597684	0.337687	0.361877	0.563175	0.455639	0.637079	0.83542	0.683862	0.480066	0.480066	1.01081	0.74474	0.286957	0.532361	0.385399	0.25821	0.223321	0.505077	0.175109	0.431264
ENSG00000232187.1	0.74474	0.223321	0.313772	0.532361	0.286957	0.385399	0.505077	0.597684	0.480066	0.408318	0.408318	0.337687	0.637079	0.683862	0.563175	0.455639	0.431264	0.175109	0.25821	0.83542	1.01081
ENSG00000275759.1	0.455639	0.25821	0.337687	0.505077	0.286957	0.480066	0.74474	0.431264	0.683862	0.313772	0.313772	0.637079	0.597684	0.408318	0.83542	0.563175	0.175109	1.01081	0.361877	0.385399	0.532361
ENSG00000277769.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	0.83542	0.337687	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.505077	1.01081	0.532361	0.563175	0.597684	0.637079	0.683862
ENSG00000204659.4	0.683862	0.385399	0.223321	0.505077	0.25821	0.480066	0.532361	0.637079	1.01081	0.597684	0.597684	0.563175	0.455639	0.175109	0.337687	0.361877	0.286957	0.431264	0.408318	0.313772	0.74474
ENSG00000233452.5	0.637079	0.597684	0.532361	0.431264	1.01081	0.361877	0.683862	0.455639	0.480066	0.505077	0.505077	0.83542	0.223321	0.563175	0.337687	0.74474	0.313772	0.286957	0.25821	0.408318	0.175109
ENSG00000173545.4	5.25256	0.337687	0.361877	0.431264	0.313772	0.83542	0.637079	0.385399	0.455639	0.532361	0.532361	0.74474	5.10095	5.47119	0.683862	0.505077	0.408318	0.286957	0.563175	1.01081	0.597684
ENSG00000211796.1	0.563175	0.637079	0.175109	0.597684	0.223321	0.25821	0.74474	0.408318	0.455639	0.83542	0.83542	0.480066	0.313772	0.337687	0.683862	0.431264	0.361877	0.532361	0.505077	1.01081	0.385399
ENSG00000162601.8	0.385399	0.480066	0.597684	0.313772	0.532361	0.361877	0.563175	0.505077	0.74474	1.01081	1.01081	0.83542	0.25821	0.223321	0.455639	0.637079	0.286957	0.431264	0.408318	0.175109	0.337687
ENSG00000232928.2	0.223321	0.480066	0.25821	0.286957	0.408318	1.01081	0.361877	0.505077	0.563175	0.431264	0.431264	0.683862	0.337687	0.313772	0.385399	0.532361	0.637079	0.597684	0.83542	0.455639	0.175109
ENSG00000255750.4	0.74474	0.175109	0.637079	0.223321	0.25821	0.286957	0.597684	0.313772	0.683862	1.01081	1.01081	0.337687	0.361877	0.385399	0.408318	0.431264	0.455639	0.480066	0.83542	0.505077	0.532361
ENSG00000238460.1	0.313772	0.175109	0.83542	0.597684	0.223321	0.25821	0.74474	0.637079	1.01081	0.286957	0.286957	0.337687	0.683862	0.361877	0.385399	0.408318	0.431264	0.455639	0.480066	0.505077	0.532361
